round,prefix,num_all_clients,num_detected_poison,num_true_poison,TP,FP,FN,TN,precision,recall,f1,false_positive_rate
1,benign,200,44,0,0,44,0,156,0.0,0.0,0.0,0.22
2,benign,200,48,0,0,48,0,152,0.0,0.0,0.0,0.24
3,benign,200,63,0,0,63,0,137,0.0,0.0,0.0,0.315
4,benign,200,58,0,0,58,0,142,0.0,0.0,0.0,0.29
5,benign,200,62,0,0,62,0,138,0.0,0.0,0.0,0.31
6,benign,200,75,0,0,75,0,125,0.0,0.0,0.0,0.375
7,benign,200,74,0,0,74,0,126,0.0,0.0,0.0,0.37
8,benign,200,71,0,0,71,0,129,0.0,0.0,0.0,0.355
9,benign,200,70,0,0,70,0,130,0.0,0.0,0.0,0.35
10,benign,200,71,0,0,71,0,129,0.0,0.0,0.0,0.355
