round,prefix,num_all_clients,num_detected_poison,num_true_poison,TP,FP,FN,TN,precision,recall,f1,false_positive_rate
1,data_poison,500,111,0,0,111,0,389,0.0,0.0,0.0,0.222
2,data_poison,500,137,0,0,137,0,363,0.0,0.0,0.0,0.274
3,data_poison,500,144,0,0,144,0,356,0.0,0.0,0.0,0.288
4,data_poison,500,155,0,0,155,0,345,0.0,0.0,0.0,0.31
5,data_poison,500,168,0,0,168,0,332,0.0,0.0,0.0,0.336
6,data_poison,500,169,0,0,169,0,331,0.0,0.0,0.0,0.338
7,data_poison,500,172,0,0,172,0,328,0.0,0.0,0.0,0.344
8,data_poison,500,178,0,0,178,0,322,0.0,0.0,0.0,0.356
9,data_poison,500,186,0,0,186,0,314,0.0,0.0,0.0,0.372
10,data_poison,500,189,0,0,189,0,311,0.0,0.0,0.0,0.378
