round,cluster_id,num_members,num_poisoned,suspicious_ratio,cluster_status,cluster_forced_poisoned,cluster_dE_global,cluster_dC_global,cluster_dN_global,lambda_cluster_dE_global,lambda_cluster_dN_global,flag_cluster_dE_global,flag_cluster_dN_global,members,poisoned_members,benign_members
5,1,1,1,1.0,CONTAMINATED,0,5.979886054992676,0.45040255784988403,0.298201345623278,4.127789944815364,0.5260645331062557,1,0,1,1,
5,4,1,1,1.0,CONTAMINATED,0,5.402895450592041,0.22042632102966309,0.36079208751382247,4.127789944815364,0.5260645331062557,1,0,4,4,
5,5,6,4,0.6666666666666666,CONTAMINATED,0,4.438188076019287,0.47272491455078125,0.021776331478656374,4.127789944815364,0.5260645331062557,1,0,5;21;187;206;274;419,21;187;274;419,5;206
5,7,4,0,0.0,MOSTLY_BENIGN,0,3.6435067653656006,0.2830466628074646,0.017270163851732506,4.127789944815364,0.5260645331062557,0,0,7;241;314;339,,7;241;314;339
5,9,1,1,1.0,CONTAMINATED,0,5.610359191894531,0.2995460629463196,0.3385531070053895,4.127789944815364,0.5260645331062557,1,0,9,9,
5,11,2,0,0.0,MOSTLY_BENIGN,0,1.2952686548233032,0.036425113677978516,0.2409048105501843,4.127789944815364,0.5260645331062557,0,0,11;130,,11;130
5,12,1,1,1.0,CONTAMINATED,0,2.085451126098633,0.21832263469696045,0.6634584538557401,4.127789944815364,0.5260645331062557,0,1,12,12,
5,14,2,0,0.0,MOSTLY_BENIGN,0,3.1385648250579834,0.1755114197731018,0.005397962624175562,4.127789944815364,0.5260645331062557,0,0,14;152,,14;152
5,16,2,2,1.0,CONTAMINATED,0,1.669279932975769,0.10289573669433594,0.8705519104418801,4.127789944815364,0.5260645331062557,0,1,16;48,16;48,
5,18,11,3,0.2727272727272727,MOSTLY_BENIGN,0,4.591925621032715,0.3770909905433655,0.10221504648028544,4.127789944815364,0.5260645331062557,1,0,18;62;71;82;91;100;166;248;320;332;351,62;166;248,18;71;82;91;100;320;332;351
5,25,1,0,0.0,MOSTLY_BENIGN,0,5.02849817276001,0.4427436590194702,0.13567962871027936,4.127789944815364,0.5260645331062557,1,0,25,,25
5,27,4,1,0.25,MOSTLY_BENIGN,0,1.6638262271881104,0.11277300119400024,0.38679482087604755,4.127789944815364,0.5260645331062557,0,0,27;210;286;495,495,27;210;286
5,28,1,0,0.0,MOSTLY_BENIGN,0,5.133969306945801,0.4867705702781677,0.1219849375056875,4.127789944815364,0.5260645331062557,1,0,28,,28
5,36,2,1,0.5,CONTAMINATED,0,2.6288530826568604,0.3550264835357666,0.6406132576534697,4.127789944815364,0.5260645331062557,0,1,36;400,400,36
5,37,3,1,0.3333333333333333,CONTAMINATED,0,2.824653387069702,0.31379878520965576,0.34802667441180213,4.127789944815364,0.5260645331062557,0,0,37;290;309,37,290;309
5,39,1,0,0.0,MOSTLY_BENIGN,0,3.048044443130493,0.32550346851348877,0.2678745384545881,4.127789944815364,0.5260645331062557,0,0,39,,39
5,41,1,1,1.0,CONTAMINATED,0,2.721649169921875,0.38287073373794556,0.6460144618570071,4.127789944815364,0.5260645331062557,0,1,41,41,
5,45,5,0,0.0,MOSTLY_BENIGN,0,3.0835306644439697,0.3102151155471802,0.2261229821748064,4.127789944815364,0.5260645331062557,0,0,45;119;190;409;448,,45;119;190;409;448
5,46,1,0,0.0,MOSTLY_BENIGN,0,4.613682746887207,0.2913045883178711,0.1804743199139253,4.127789944815364,0.5260645331062557,1,0,46,,46
5,53,1,1,1.0,CONTAMINATED,0,6.851900577545166,0.367578387260437,0.46960800904293,4.127789944815364,0.5260645331062557,1,0,53,53,
5,55,1,1,1.0,CONTAMINATED,0,2.798248052597046,0.44273972511291504,0.8586464720414383,4.127789944815364,0.5260645331062557,0,1,55,55,
5,60,1,1,1.0,CONTAMINATED,0,6.170543670654297,0.3418022394180298,0.3930056304970011,4.127789944815364,0.5260645331062557,1,0,60,60,
5,61,1,0,0.0,MOSTLY_BENIGN,0,3.934758186340332,0.09925132989883423,0.23156452168817981,4.127789944815364,0.5260645331062557,0,0,61,,61
5,63,1,0,0.0,MOSTLY_BENIGN,0,3.4282524585723877,0.41653138399124146,0.2676601277311089,4.127789944815364,0.5260645331062557,0,0,63,,63
5,65,2,0,0.0,MOSTLY_BENIGN,0,3.8763468265533447,0.32380449771881104,0.006419529974639989,4.127789944815364,0.5260645331062557,0,0,65;113,,65;113
5,68,1,0,0.0,MOSTLY_BENIGN,0,2.4508330821990967,0.09025269746780396,0.04423523650886562,4.127789944815364,0.5260645331062557,0,0,68,,68
5,73,1,1,1.0,CONTAMINATED,0,2.6392674446105957,0.35599470138549805,1.269404128229237,4.127789944815364,0.5260645331062557,0,1,73,73,
5,74,2,2,1.0,CONTAMINATED,0,2.1990606784820557,0.12648141384124756,1.3040245759808158,4.127789944815364,0.5260645331062557,0,1,74;416,74;416,
5,76,1,0,0.0,MOSTLY_BENIGN,0,2.6733832359313965,0.3025851845741272,0.40665853316468364,4.127789944815364,0.5260645331062557,0,0,76,,76
5,77,2,0,0.0,MOSTLY_BENIGN,0,3.32710862159729,0.29796797037124634,0.12391865189666822,4.127789944815364,0.5260645331062557,0,0,77;193,,77;193
5,78,2,0,0.0,MOSTLY_BENIGN,0,1.1964442729949951,0.06585758924484253,0.4940187058558295,4.127789944815364,0.5260645331062557,0,0,78;429,,78;429
5,79,2,0,0.0,MOSTLY_BENIGN,0,4.232511520385742,0.36850428581237793,0.031541732634764806,4.127789944815364,0.5260645331062557,1,0,79;443,,79;443
5,80,1,0,0.0,MOSTLY_BENIGN,0,2.9002597332000732,0.29351043701171875,0.26897076686199006,4.127789944815364,0.5260645331062557,0,0,80,,80
5,81,4,0,0.0,MOSTLY_BENIGN,0,3.9222936630249023,0.22626900672912598,0.10731367187046914,4.127789944815364,0.5260645331062557,0,0,81;86;344;395,,81;86;344;395
