round,prefix,num_all_clients,num_detected_poison,num_true_poison,TP,FP,FN,TN,precision,recall,f1,false_positive_rate
1,data_poison,500,126,250,51,75,199,175,0.40476190476190477,0.204,0.2712765957446809,0.3
2,data_poison,500,147,250,59,88,191,162,0.4013605442176871,0.236,0.2972292191435768,0.352
2,data_poison,500,147,250,59,88,191,162,0.4013605442176871,0.236,0.2972292191435768,0.352
3,data_poison,500,145,250,58,87,192,163,0.4,0.232,0.2936708860759494,0.348
4,data_poison,500,148,250,57,91,193,159,0.38513513513513514,0.228,0.28643216080402006,0.364
5,data_poison,500,161,250,66,95,184,155,0.40993788819875776,0.264,0.32116788321167883,0.38
6,data_poison,500,173,250,74,99,176,151,0.4277456647398844,0.296,0.3498817966903074,0.396
7,data_poison,500,179,250,80,99,170,151,0.44692737430167595,0.32,0.37296037296037293,0.396
8,data_poison,500,182,250,80,102,170,148,0.43956043956043955,0.32,0.37037037037037035,0.408
9,data_poison,500,191,250,83,108,167,142,0.43455497382198954,0.332,0.3764172335600907,0.432
10,data_poison,500,197,250,85,112,165,138,0.43147208121827413,0.34,0.38031319910514544,0.448
