round,cluster_id,num_members,num_poisoned,suspicious_ratio,cluster_status,cluster_forced_poisoned,cluster_dE_global,cluster_dC_global,cluster_dN_global,lambda_cluster_dE_global,lambda_cluster_dN_global,flag_cluster_dE_global,flag_cluster_dN_global,members,poisoned_members,benign_members
1,1,5,0,0.0,MOSTLY_BENIGN,0,2.996300220489502,0.09467417001724243,0.8727675063209116,101.47776486789702,4.6569363225698215,0,0,1;27;49;88;178,,1;27;49;88;178
1,2,34,0,0.0,MOSTLY_BENIGN,0,4.825747489929199,0.35359734296798706,0.4177541654571987,101.47776486789702,4.6569363225698215,0,0,2;3;4;15;18;29;34;35;40;47;65;67;69;73;74;90;91;94;96;112;113;114;124;128;139;148;156;157;164;168;170;186;198;200,,2;3;4;15;18;29;34;35;40;47;65;67;69;73;74;90;91;94;96;112;113;114;124;128;139;148;156;157;164;168;170;186;198;200
1,6,2,0,0.0,MOSTLY_BENIGN,0,3.8596057891845703,0.18578261137008667,1.0904639466059616,101.47776486789702,4.6569363225698215,0,0,6;192,,6;192
1,7,4,2,0.5,CONTAMINATED,0,33.172332763671875,0.16389042139053345,1.4859018811888374,101.47776486789702,4.6569363225698215,0,0,7;28;56;81,7;28,56;81
1,8,3,1,0.3333333333333333,CONTAMINATED,0,3.8918063640594482,0.2558208703994751,0.7054440639542867,101.47776486789702,4.6569363225698215,0,0,8;68;111,68,8;111
1,10,2,2,1.0,CONTAMINATED,0,63.015506744384766,0.2338222861289978,2.0614218096216543,101.47776486789702,4.6569363225698215,0,0,10;183,10;183,
1,13,3,1,0.3333333333333333,CONTAMINATED,0,75.9899673461914,0.3397766947746277,2.2296568821084017,101.47776486789702,4.6569363225698215,0,0,13;63;70,13,63;70
1,14,3,0,0.0,MOSTLY_BENIGN,0,4.5272626876831055,0.3336679935455322,0.5078664528852359,101.47776486789702,4.6569363225698215,0,0,14;17;26,,14;17;26
1,16,1,0,0.0,MOSTLY_BENIGN,0,22.463703155517578,0.34546494483947754,1.1031989121823618,101.47776486789702,4.6569363225698215,0,0,16,,16
1,20,1,0,0.0,MOSTLY_BENIGN,0,4.538200378417969,0.3512845039367676,0.5901329922325236,101.47776486789702,4.6569363225698215,0,0,20,,20
1,21,1,0,0.0,MOSTLY_BENIGN,0,5.056807041168213,0.39036035537719727,1.7515367591476114,101.47776486789702,4.6569363225698215,0,0,21,,21
1,22,5,5,1.0,POISONED_BY_CENTROID,1,273.09478759765625,0.24108612537384033,3.4770504532610658,101.47776486789702,4.6569363225698215,1,0,22;55;107;137;151,22;55;107;137;151,
1,23,1,0,0.0,MOSTLY_BENIGN,0,24.677947998046875,0.12894076108932495,1.238534550237407,101.47776486789702,4.6569363225698215,0,0,23,,23
1,25,5,5,1.0,POISONED_BY_CENTROID,1,254.42697143554688,0.3366786241531372,3.405210457746265,101.47776486789702,4.6569363225698215,1,0,25;48;76;193;195,25;48;76;193;195,
1,30,2,2,1.0,POISONED_BY_CENTROID,1,299.2958679199219,0.31732869148254395,3.565800825634248,101.47776486789702,4.6569363225698215,1,0,30;41,30;41,
1,31,2,0,0.0,MOSTLY_BENIGN,0,4.940817356109619,0.30296045541763306,1.7983900577850551,101.47776486789702,4.6569363225698215,0,0,31;32,,31;32
1,42,10,0,0.0,MOSTLY_BENIGN,0,3.3200135231018066,0.1758408546447754,0.6616552773792043,101.47776486789702,4.6569363225698215,0,0,42;5;12;36;38;45;125;126;135;196,,42;5;12;36;38;45;125;126;135;196
1,43,1,0,0.0,MOSTLY_BENIGN,0,3.9000821113586426,0.18987834453582764,1.1070720537741308,101.47776486789702,4.6569363225698215,0,0,43,,43
1,46,1,0,0.0,MOSTLY_BENIGN,0,70.5853271484375,0.22324132919311523,2.168945921418152,101.47776486789702,4.6569363225698215,0,0,46,,46
1,50,1,0,0.0,MOSTLY_BENIGN,0,3.4300408363342285,0.17128705978393555,0.824509328652966,101.47776486789702,4.6569363225698215,0,0,50,,50
1,51,2,0,0.0,MOSTLY_BENIGN,0,4.247711658477783,0.3055468201637268,0.9392272921779866,101.47776486789702,4.6569363225698215,0,0,51;153,,51;153
1,52,2,1,0.5,CONTAMINATED,0,68.85442352294922,0.2366909384727478,2.1444290290291974,101.47776486789702,4.6569363225698215,0,0,52;9,9,52
1,53,1,0,0.0,MOSTLY_BENIGN,0,4.213558197021484,0.29785633087158203,0.9415004523143138,101.47776486789702,4.6569363225698215,0,0,53,,53
1,58,2,2,1.0,POISONED_BY_CENTROID,1,143.7403564453125,0.4628157615661621,2.840240438615859,101.47776486789702,4.6569363225698215,1,0,58;121,58;121,
1,62,2,0,0.0,MOSTLY_BENIGN,0,4.0019001960754395,0.26357537508010864,0.8707127262879252,101.47776486789702,4.6569363225698215,0,0,62;85,,62;85
1,64,3,3,1.0,POISONED_BY_CENTROID,1,139.65081787109375,0.295507550239563,2.8189485145542217,101.47776486789702,4.6569363225698215,1,0,64;162;169,64;162;169,
1,71,1,1,1.0,POISONED_BY_CENTROID,1,147.31617736816406,0.3324206471443176,2.8694807399949434,101.47776486789702,4.6569363225698215,1,0,71,71,
1,72,1,1,1.0,POISONED_BY_CENTROID,1,136.38526916503906,0.3558448553085327,2.793371930812552,101.47776486789702,4.6569363225698215,1,0,72,72,
1,75,1,0,0.0,MOSTLY_BENIGN,0,77.99369812011719,0.3553560972213745,2.2533585682667048,101.47776486789702,4.6569363225698215,0,0,75,,75
1,77,1,0,0.0,MOSTLY_BENIGN,0,4.35368537902832,0.33019793033599854,0.9248527068827948,101.47776486789702,4.6569363225698215,0,0,77,,77
1,78,1,0,0.0,MOSTLY_BENIGN,0,50.03993606567383,0.2216404676437378,1.84836195542625,101.47776486789702,4.6569363225698215,0,0,78,,78
1,79,1,1,1.0,POISONED_BY_CENTROID,1,229.48155212402344,0.3966718912124634,3.3020881223248018,101.47776486789702,4.6569363225698215,1,0,79,79,
1,86,2,1,0.5,CONTAMINATED,0,80.25984954833984,0.23126810789108276,2.289803889072551,101.47776486789702,4.6569363225698215,0,0,86;108,86,108
1,87,1,0,0.0,MOSTLY_BENIGN,0,3.5442934036254883,0.18593943119049072,0.8449535262037151,101.47776486789702,4.6569363225698215,0,0,87,,87
1,97,1,0,0.0,MOSTLY_BENIGN,0,3.6173465251922607,0.20901113748550415,0.7661626277274245,101.47776486789702,4.6569363225698215,0,0,97,,97
1,99,5,1,0.2,MOSTLY_BENIGN,0,4.436445713043213,0.29369956254959106,1.2420775513137843,101.47776486789702,4.6569363225698215,0,0,99;61;134;147;187,61,99;134;147;187
1,103,3,0,0.0,MOSTLY_BENIGN,0,4.300246238708496,0.22203820943832397,1.32775394686668,101.47776486789702,4.6569363225698215,0,0,103;150;184,,103;150;184
1,104,2,0,0.0,MOSTLY_BENIGN,0,3.959810733795166,0.21802610158920288,1.0591095123957714,101.47776486789702,4.6569363225698215,0,0,104;130,,104;130
1,105,2,1,0.5,CONTAMINATED,0,88.51704406738281,0.27382200956344604,2.380163436545695,101.47776486789702,4.6569363225698215,0,0,105;179,105,179
1,106,5,5,1.0,POISONED_BY_CENTROID,1,131.03903198242188,0.23748916387557983,2.7596956407196944,101.47776486789702,4.6569363225698215,1,0,106;92;100;116;185,106;92;100;116;185,
