round,TP,FP,FN,TN,Precision,Recall,F1,Accuracy
1,78,1,22,99,0.9873417721518988,0.78,0.8715083798882681,0.885
2,62,0,38,100,1.0,0.62,0.7654320987654321,0.81
3,68,0,32,100,1.0,0.68,0.8095238095238095,0.84
4,59,0,41,100,1.0,0.59,0.7421383647798743,0.795
5,81,0,19,100,1.0,0.81,0.8950276243093923,0.905
6,79,0,21,100,1.0,0.79,0.8826815642458101,0.895
7,88,1,12,99,0.9887640449438202,0.88,0.9312169312169312,0.935
8,86,1,14,99,0.9885057471264368,0.86,0.9197860962566845,0.925
9,92,1,8,99,0.989247311827957,0.92,0.9533678756476685,0.955
10,91,0,9,100,1.0,0.91,0.9528795811518325,0.955
