client_id,cluster_id,dE_local,dC_local,dN_local,dE_global,dC_global,dN_global,dD,norm,dE,dC,dN,lambda_dE_local,raw_lambda_dE_local,tau_dE_local,z_dE_local,flag_dE_local,threshold_scope_dE_local,lambda_dN_local,raw_lambda_dN_local,tau_dN_local,z_dN_local,flag_dN_local,threshold_scope_dN_local,lambda_dE_global,raw_lambda_dE_global,tau_dE_global,z_dE_global,flag_dE_global,threshold_scope_dE_global,lambda_dN_global,raw_lambda_dN_global,tau_dN_global,z_dN_global,flag_dN_global,threshold_scope_dN_global,lambda_dC_local,raw_lambda_dC_local,tau_dC_local,z_dC_local,flag_dC_local,threshold_scope_dC_local,lambda_dC_global,raw_lambda_dC_global,tau_dC_global,z_dC_global,flag_dC_global,threshold_scope_dC_global,lambda_dD,raw_lambda_dD,tau_dD,z_dD,flag_dD,threshold_scope_dD,local_votes,global_votes,magnitude_votes,direction_votes,suspicious_votes,suspicious_score,cluster_forced_poisoned,client_poisoned_by_score,is_poisoned,round
1,35,4.255694389343262,0.10573899745941162,0.44477701894602517,4.255694389343262,0.10573899745941162,0.44477701894602517,0.6111329197883606,7.002160549163818,4.255694389343262,0.10573899745941162,0.44477701894602517,5.908143064865916,5.908143064865916,2.3465144891065464,1.008521837773357,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,0.269188176646809,0,global_population_threshold,5.908143064865916,5.908143064865916,2.3465144891065464,1.008521837773357,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,0.269188176646809,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,0.24533615170845405,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,0.24533615170845405,0,global_population_threshold,0.9676770307901035,0.9676770307901035,2.40697922389234,1.1688689623913584,0,global_population_threshold,0,0,0,0,0,2.5554200288403317,0,0,0,4
2,35,2.94187068939209,0.03776705265045166,0.29841430874671676,2.94187068939209,0.03776705265045166,0.29841430874671676,0.24425721168518066,6.048776626586914,2.94187068939209,0.03776705265045166,0.29841430874671676,5.908143064865916,5.908143064865916,2.3465144891065464,-0.055285154672897796,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,-0.15501799399392646,0,global_population_threshold,5.908143064865916,5.908143064865916,2.3465144891065464,-0.055285154672897796,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,-0.15501799399392646,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,-0.4187608760653561,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,-0.4187608760653561,0,global_population_threshold,0.9676770307901035,0.9676770307901035,2.40697922389234,-0.10511808403246828,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,4
3,35,3.106333017349243,0.026410460472106934,0.33941744910131477,3.106333017349243,0.026410460472106934,0.33941744910131477,0.0650625228881836,6.301950454711914,3.106333017349243,0.026410460472106934,0.33941744910131477,5.908143064865916,5.908143064865916,2.3465144891065464,0.07788048580178013,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,-0.03617771609539095,0,global_population_threshold,5.908143064865916,5.908143064865916,2.3465144891065464,0.07788048580178013,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,-0.03617771609539095,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,-0.5297166407190677,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,-0.5297166407190677,0,global_population_threshold,0.9676770307901035,0.9676770307901035,2.40697922389234,-0.727377086940119,0,global_population_threshold,0,0,0,0,0,0.15576097160356026,0,0,0,4
4,35,4.7636399269104,0.2979007959365845,0.36800260496946524,4.7636399269104,0.2979007959365845,0.36800260496946524,0.2651955485343933,6.484692096710205,4.7636399269104,0.2979007959365845,0.36800260496946524,5.908143064865916,5.908143064865916,2.3465144891065464,1.4198068638129058,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,0.04667125200231756,0,global_population_threshold,5.908143064865916,5.908143064865916,2.3465144891065464,1.4198068638129058,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,0.04667125200231756,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,2.122788379668518,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,2.122788379668518,0,global_population_threshold,0.9676770307901035,0.9676770307901035,2.40697922389234,-0.032409072968553734,0,global_population_threshold,0,0,0,0,0,2.9329562316304467,0,0,0,4
5,35,0.7719852924346924,0.022404074668884277,0.21909383314708827,0.7719852924346924,0.022404074668884277,0.21909383314708827,0.024691104888916016,3.6050941944122314,0.7719852924346924,0.022404074668884277,0.21909383314708827,5.908143064865916,5.908143064865916,2.3465144891065464,-1.812247872103011,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,-0.3849142234481368,0,global_population_threshold,5.908143064865916,5.908143064865916,2.3465144891065464,-1.812247872103011,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,-0.3849142234481368,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,-0.5688596858609015,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,-0.5688596858609015,0,global_population_threshold,0.9676770307901035,0.9676770307901035,2.40697922389234,-0.867568062905101,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,4
6,35,2.047431707382202,0.09127587080001831,0.015120264193087053,2.047431707382202,0.09127587080001831,0.015120264193087053,0.47352463006973267,4.556532859802246,2.047431707382202,0.09127587080001831,0.015120264193087053,5.908143064865916,5.908143064865916,2.3465144891065464,-0.7795150824889292,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,-0.9760951771218801,0,global_population_threshold,5.908143064865916,5.908143064865916,2.3465144891065464,-0.7795150824889292,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,-0.9760951771218801,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,0.1040290366359845,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,0.1040290366359845,0,global_population_threshold,0.9676770307901035,0.9676770307901035,2.40697922389234,0.6910199941714058,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,4
7,35,2.970560073852539,0.24093109369277954,0.01617655759086694,2.970560073852539,0.24093109369277954,0.01617655759086694,0.44600510597229004,4.5613484382629395,2.970560073852539,0.24093109369277954,0.01617655759086694,5.908143064865916,5.908143064865916,2.3465144891065464,-0.03205527398255931,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,-0.9730336993948339,0,global_population_threshold,5.908143064865916,5.908143064865916,2.3465144891065464,-0.03205527398255931,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,-0.9730336993948339,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,1.5661850628206133,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,1.5661850628206133,0,global_population_threshold,0.9676770307901035,0.9676770307901035,2.40697922389234,0.5954576103734844,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,4
8,35,3.696197986602783,0.005122482776641846,0.4509462717555828,3.696197986602783,0.005122482776641846,0.4509462717555828,0.010273873805999756,7.045492172241211,3.696197986602783,0.005122482776641846,0.4509462717555828,5.908143064865916,5.908143064865916,2.3465144891065464,0.5554959215062297,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,0.2870686538974236,0,global_population_threshold,5.908143064865916,5.908143064865916,2.3465144891065464,0.5554959215062297,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,0.2870686538974236,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,-0.7377036676403568,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,-0.7377036676403568,0,global_population_threshold,0.9676770307901035,0.9676770307901035,2.40697922389234,-0.9176323360070111,0,global_population_threshold,0,0,0,0,0,1.6851291508073067,0,0,0,4
9,35,3.988212823867798,0.20125442743301392,0.3120166232204967,3.988212823867798,0.20125442743301392,0.3120166232204967,0.2801099419593811,6.131616115570068,3.988212823867798,0.20125442743301392,0.3120166232204967,5.908143064865916,5.908143064865916,2.3465144891065464,0.7919412115342015,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,-0.11559411528249965,0,global_population_threshold,5.908143064865916,5.908143064865916,2.3465144891065464,0.7919412115342015,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,-0.11559411528249965,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,1.1785375384024146,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,1.1785375384024146,0,global_population_threshold,0.9676770307901035,0.9676770307901035,2.40697922389234,0.019381611475888634,0,global_population_threshold,0,0,0,0,0,1.583882423068403,0,0,0,4
10,35,4.0343217849731445,0.09776473045349121,0.41741583496995505,4.0343217849731445,0.09776473045349121,0.41741583496995505,0.12103414535522461,6.813170433044434,4.0343217849731445,0.09776473045349121,0.41741583496995505,5.908143064865916,5.908143064865916,2.3465144891065464,0.8292757757075553,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,0.18988667243935134,0,global_population_threshold,5.908143064865916,5.908143064865916,2.3465144891065464,0.8292757757075553,0,global_population_threshold,1.2200857783037766,1.2200857783037766,2.5162821217136493,0.18988667243935134,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,0.16742625767510816,0,global_population_threshold,0.3207997069774364,0.3207997069774364,2.3465144891065464,0.16742625767510816,0,global_population_threshold,0.9676770307901035,0.9676770307901035,2.40697922389234,-0.5330139268415478,0,global_population_threshold,0,0,0,0,0,2.038324896293813,0,0,0,4
