round,prefix,num_all_clients,num_detected_poison,num_true_poison,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,precision,recall,f1,accuracy,false_positive_rate
1,botpa,500,99,100,95,4,5,396,0.9595959595959596,0.95,0.9547738693467336,0.982,0.9595959595959596,0.95,0.9547738693467336,0.982,0.01
2,botpa,500,87,100,78,9,22,391,0.896551724137931,0.78,0.8342245989304813,0.938,0.896551724137931,0.78,0.8342245989304813,0.938,0.0225
3,botpa,500,95,100,80,15,20,385,0.8421052631578947,0.8,0.8205128205128205,0.93,0.8421052631578947,0.8,0.8205128205128205,0.93,0.0375
4,botpa,500,99,100,80,19,20,381,0.8080808080808081,0.8,0.8040201005025126,0.922,0.8080808080808081,0.8,0.8040201005025126,0.922,0.0475
5,botpa,500,105,100,84,21,16,379,0.8,0.84,0.8195121951219512,0.926,0.8,0.84,0.8195121951219512,0.926,0.0525
2,botpa,500,87,100,78,9,22,391,0.896551724137931,0.78,0.8342245989304813,0.938,0.896551724137931,0.78,0.8342245989304813,0.938,0.0225
3,botpa,500,95,100,80,15,20,385,0.8421052631578947,0.8,0.8205128205128205,0.93,0.8421052631578947,0.8,0.8205128205128205,0.93,0.0375
4,botpa,500,99,100,80,19,20,381,0.8080808080808081,0.8,0.8040201005025126,0.922,0.8080808080808081,0.8,0.8040201005025126,0.922,0.0475
5,botpa,500,105,100,84,21,16,379,0.8,0.84,0.8195121951219512,0.926,0.8,0.84,0.8195121951219512,0.926,0.0525
6,botpa,500,117,100,89,28,11,372,0.7606837606837606,0.89,0.8202764976958524,0.922,0.7606837606837606,0.89,0.8202764976958524,0.922,0.07
7,botpa,500,128,100,94,34,6,366,0.734375,0.94,0.8245614035087719,0.92,0.734375,0.94,0.8245614035087719,0.92,0.085
8,botpa,500,127,100,98,29,2,371,0.7716535433070866,0.98,0.8634361233480176,0.938,0.7716535433070866,0.98,0.8634361233480176,0.938,0.0725
9,botpa,500,127,100,98,29,2,371,0.7716535433070866,0.98,0.8634361233480176,0.938,0.7716535433070866,0.98,0.8634361233480176,0.938,0.0725
10,botpa,500,126,100,99,27,1,373,0.7857142857142857,0.99,0.8761061946902654,0.944,0.7857142857142857,0.99,0.8761061946902654,0.944,0.0675
