client_id,cluster_id,dE_local,dC_local,dN_local,dE_global,dC_global,dN_global,dD,norm,dE,dC,dN,lambda_dE_local,raw_lambda_dE_local,tau_dE_local,z_dE_local,flag_dE_local,threshold_scope_dE_local,lambda_dN_local,raw_lambda_dN_local,tau_dN_local,z_dN_local,flag_dN_local,threshold_scope_dN_local,lambda_dE_global,raw_lambda_dE_global,tau_dE_global,z_dE_global,flag_dE_global,threshold_scope_dE_global,lambda_dN_global,raw_lambda_dN_global,tau_dN_global,z_dN_global,flag_dN_global,threshold_scope_dN_global,lambda_dC_local,raw_lambda_dC_local,tau_dC_local,z_dC_local,flag_dC_local,threshold_scope_dC_local,lambda_dC_global,raw_lambda_dC_global,tau_dC_global,z_dC_global,flag_dC_global,threshold_scope_dC_global,lambda_dD,raw_lambda_dD,tau_dD,z_dD,flag_dD,threshold_scope_dD,local_votes,global_votes,magnitude_votes,direction_votes,suspicious_votes,suspicious_score,cluster_forced_poisoned,client_poisoned_by_score,is_poisoned,round
1,17,1.6515649557113647,0.047438621520996094,0.19055858050443128,1.6515649557113647,0.047438621520996094,0.19055858050443128,1.257953405380249,5.3768439292907715,1.6515649557113647,0.047438621520996094,0.19055858050443128,8.114746183002374,8.114746183002374,1.874339328962668,-1.3624044573533078,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-0.35421003958982145,0,global_population_threshold,8.114746183002374,8.114746183002374,1.874339328962668,-1.3624044573533078,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-0.35421003958982145,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,-0.3496235475558701,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,-0.3496235475558701,0,global_population_threshold,1.419798790238425,1.419798790238425,1.9977607517676454,1.5887416326044175,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,9
2,17,4.9462432861328125,0.060170114040374756,0.39119817748783864,4.9462432861328125,0.060170114040374756,0.39119817748783864,0.5559810400009155,9.620135307312012,4.9462432861328125,0.060170114040374756,0.39119817748783864,8.114746183002374,8.114746183002374,1.874339328962668,0.28756159479283705,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,0.3792228982938838,0,global_population_threshold,8.114746183002374,8.114746183002374,1.874339328962668,0.28756159479283705,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,0.3792228982938838,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,-0.16483431994116426,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,-0.16483431994116426,0,global_population_threshold,1.419798790238425,1.419798790238425,1.9977607517676454,-0.185297947284993,0,global_population_threshold,0,0,0,0,0,1.3335689861734417,0,0,0,9
3,17,8.34433364868164,0.16709208488464355,0.6332154300906286,8.34433364868164,0.16709208488464355,0.6332154300906286,0.6294737458229065,12.254283905029297,8.34433364868164,0.16709208488464355,0.6332154300906286,8.114746183002374,8.114746183002374,1.874339328962668,1.9893161146683331,1,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,1.2639108026943615,0,global_population_threshold,8.114746183002374,8.114746183002374,1.874339328962668,1.9893161146683331,1,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,1.2639108026943615,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,1.3870676567737215,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,1.3870676567737215,0,global_population_threshold,1.419798790238425,1.419798790238425,1.9977607517676454,0.00043439118238585285,0,global_population_threshold,1,1,2,0,2,6.50645383472539,0,1,1,9
4,17,2.2548341751098633,0.07374000549316406,0.08693710692051297,2.2548341751098633,0.07374000549316406,0.08693710692051297,1.3152765929698944,5.963890552520752,2.2548341751098633,0.07374000549316406,0.08693710692051297,8.114746183002374,8.114746183002374,1.874339328962668,-1.0602888537991055,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-0.732995697760661,0,global_population_threshold,8.114746183002374,8.114746183002374,1.874339328962668,-1.0602888537991055,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-0.732995697760661,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,0.032123715934013065,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,0.032123715934013065,0,global_population_threshold,1.419798790238425,1.419798790238425,1.9977607517676454,1.7336100186618986,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,9
5,17,2.117427110671997,0.05006217956542969,0.019625455672477275,2.117427110671997,0.05006217956542969,0.019625455672477275,1.4858146905899048,6.379148960113525,2.117427110671997,0.05006217956542969,0.019625455672477275,8.114746183002374,8.114746183002374,1.874339328962668,-1.1291019423346822,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-0.9790517249402458,0,global_population_threshold,8.114746183002374,8.114746183002374,1.874339328962668,-1.1291019423346822,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-0.9790517249402458,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,-0.3115443306930154,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,-0.3115443306930154,0,global_population_threshold,1.419798790238425,1.419798790238425,1.9977607517676454,2.1645975474849948,1,global_population_threshold,0,0,0,1,0,0.0,0,0,0,9
6,17,1.9880038499832153,0.036628782749176025,0.0032394068651411968,1.9880038499832153,0.036628782749176025,0.0032394068651411968,0.512425422668457,6.5266876220703125,1.9880038499832153,0.036628782749176025,0.0032394068651411968,8.114746183002374,8.114746183002374,1.874339328962668,-1.1939167634122938,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-1.0389505091172504,0,global_population_threshold,8.114746183002374,8.114746183002374,1.874339328962668,-1.1939167634122938,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-1.0389505091172504,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,-0.5065212368286449,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,-0.5065212368286449,0,global_population_threshold,1.419798790238425,1.419798790238425,1.9977607517676454,-0.2953726352430347,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,9
7,17,2.0381853580474854,0.05944633483886719,0.08863092784140295,2.0381853580474854,0.05944633483886719,0.08863092784140295,0.5367917716503143,5.953797340393066,2.0381853580474854,0.05944633483886719,0.08863092784140295,8.114746183002374,8.114746183002374,1.874339328962668,-1.1687859990560199,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-0.7268039785141359,0,global_population_threshold,8.114746183002374,8.114746183002374,1.874339328962668,-1.1687859990560199,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-0.7268039785141359,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,-0.1753394982937098,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,-0.1753394982937098,0,global_population_threshold,1.419798790238425,1.419798790238425,1.9977607517676454,-0.23379347679873635,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,9
8,17,2.5562822818756104,0.075947105884552,0.0046776843261858245,2.5562822818756104,0.075947105884552,0.0046776843261858245,0.4371892809867859,6.475219249725342,2.5562822818756104,0.075947105884552,0.0046776843261858245,8.114746183002374,8.114746183002374,1.874339328962668,-0.9093244521898031,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-1.0336929224812827,0,global_population_threshold,8.114746183002374,8.114746183002374,1.874339328962668,-0.9093244521898031,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-1.0336929224812827,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,0.06415832428585433,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,0.06415832428585433,0,global_population_threshold,1.419798790238425,1.419798790238425,1.9977607517676454,-0.4855110221143273,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,9
9,17,3.529177665710449,0.12441396713256836,0.08544866921754479,3.529177665710449,0.12441396713256836,0.08544866921754479,1.235688030719757,7.08591365814209,3.529177665710449,0.12441396713256836,0.08544866921754479,8.114746183002374,8.114746183002374,1.874339328962668,-0.4221010589999016,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-0.7384366438837491,0,global_population_threshold,8.114746183002374,8.114746183002374,1.874339328962668,-0.4221010589999016,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-0.7384366438837491,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,0.7676228899130074,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,0.7676228899130074,0,global_population_threshold,1.419798790238425,1.419798790238425,1.9977607517676454,1.5324721014136355,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,9
10,17,2.1339845657348633,0.06851714849472046,0.10485055396915614,2.1339845657348633,0.06851714849472046,0.10485055396915614,0.39874380826950073,5.858007907867432,2.1339845657348633,0.06851714849472046,0.10485055396915614,8.114746183002374,8.114746183002374,1.874339328962668,-1.1208100133437964,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-0.6675135482047233,0,global_population_threshold,8.114746183002374,8.114746183002374,1.874339328962668,-1.1208100133437964,0,global_population_threshold,0.8380363930827742,0.8380363930827742,2.0126286175601793,-0.6675135482047233,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,-0.04368261307379408,0,global_population_threshold,0.20066382350334344,0.20066382350334344,1.874339328962668,-0.04368261307379408,0,global_population_threshold,1.419798790238425,1.419798790238425,1.9977607517676454,-0.5826712432736976,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,9
