round,prefix,num_all_clients,num_detected_poison,num_true_poison,TP,FP,FN,TN,precision,recall,f1,false_positive_rate
1,pga,500,101,100,100,1,0,399,0.9900990099009901,1.0,0.9950248756218906,0.0025
2,pga,500,101,100,100,1,0,399,0.9900990099009901,1.0,0.9950248756218906,0.0025
3,pga,500,106,100,100,6,0,394,0.9433962264150944,1.0,0.970873786407767,0.015
4,pga,500,103,100,100,3,0,397,0.970873786407767,1.0,0.9852216748768473,0.0075
5,pga,500,104,100,100,4,0,396,0.9615384615384616,1.0,0.9803921568627451,0.01
6,pga,500,116,100,97,19,3,381,0.8362068965517241,0.97,0.8981481481481481,0.0475
7,pga,500,123,100,99,24,1,376,0.8048780487804879,0.99,0.8878923766816144,0.06
8,pga,500,122,100,100,22,0,378,0.819672131147541,1.0,0.9009009009009009,0.055
9,pga,500,122,100,98,24,2,376,0.8032786885245902,0.98,0.882882882882883,0.06
10,pga,500,125,100,99,26,1,374,0.792,0.99,0.88,0.065
10,pga,500,125,100,99,26,1,374,0.792,0.99,0.88,0.065
