client_id,cluster_id,dE_local,dC_local,dN_local,dE_global,dC_global,dN_global,dD,norm,dE,dC,dN,lambda_dE_local,raw_lambda_dE_local,tau_dE_local,z_dE_local,flag_dE_local,threshold_scope_dE_local,lambda_dN_local,raw_lambda_dN_local,tau_dN_local,z_dN_local,flag_dN_local,threshold_scope_dN_local,lambda_dE_global,raw_lambda_dE_global,tau_dE_global,z_dE_global,flag_dE_global,threshold_scope_dE_global,lambda_dN_global,raw_lambda_dN_global,tau_dN_global,z_dN_global,flag_dN_global,threshold_scope_dN_global,lambda_dC_local,raw_lambda_dC_local,tau_dC_local,z_dC_local,flag_dC_local,threshold_scope_dC_local,lambda_dC_global,raw_lambda_dC_global,tau_dC_global,z_dC_global,flag_dC_global,threshold_scope_dC_global,lambda_dD,raw_lambda_dD,tau_dD,z_dD,flag_dD,threshold_scope_dD,local_votes,global_votes,magnitude_votes,direction_votes,suspicious_votes,suspicious_score,cluster_forced_poisoned,client_poisoned_by_score,is_poisoned,round
1,1,0.0,0.0,0.0,3.8752310276031494,0.18236881494522095,11.26622588418198,0.0,6.338336944580078,0.0,0.0,0.0,4.6064404002026045,4.6064404002026045,2.533472797227092,-0.6744907594761255,0,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,-0.6744907594726133,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,-0.6744866365947475,0,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,-0.5201211010977106,0,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,-0.6745115549919243,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,-0.16230463188184951,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,-0.6744907594479075,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,3
2,399,1.0502650737762451,0.00595402717590332,0.12866857328094436,2.000304698944092,0.053454697132110596,11.458069405223483,0.1206933856010437,5.231891632080078,1.0502650737762451,0.00595402717590332,0.12866857328094436,4.6064404002026045,4.6064404002026045,2.533472797227092,0.05692260720986705,0,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,0.08511549983460683,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,-0.674489190044766,0,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,-0.3614349476838292,0,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,0.36414713040826996,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,-0.648787674165817,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,4.4589042059741955,1,global_population_threshold,0,0,0,1,0,0.14203810704447387,0,0,0,3
3,263,4228951048192.0,0.008499383926391602,0.03297564241573927,27311732686848.0,0.6236089468002319,17.825495187903194,0.004488170146942139,27311732686848.0,4228951048192.0,0.008499383926391602,0.03297564241573927,4.6064404002026045,4.6064404002026045,2.533472797227092,2945076820070.125,1,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,-0.4798161489989316,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,37195671.108095124,1,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,4.905473724114474,1,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,0.8081754860456574,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,1.502802692001761,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,-0.4835975309454889,0,global_population_threshold,1,2,3,0,3,2945114015746.138,1,1,1,3
4,46,1.7247107028961182,0.00420457124710083,0.27718544063657974,2.5312516689300537,0.08970397710800171,11.410378183034474,0.014592468738555908,5.487452507019043,1.7247107028961182,0.00420457124710083,0.27718544063657974,4.6064404002026045,4.6064404002026045,2.533472797227092,0.5266121746897754,0,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,0.9618979120380414,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,-0.6744884669515279,0,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,-0.40088343444895336,0,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,0.058960818439532714,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,-0.5119938124660444,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,-0.0538361545369442,0,global_population_threshold,0,0,0,0,0,1.4885100867278167,0,0,0,3
5,211,0.36404311656951904,0.0062618255615234375,0.10111656161425697,1.6066616773605347,0.07636016607284546,12.023439008391193,0.07265138626098633,2.9724998474121094,0.36404311656951904,0.0062618255615234375,0.10111656161425697,4.6064404002026045,4.6064404002026045,2.533472797227092,-0.42096809347752245,0,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,-0.0775402286378313,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,-0.6744897261446466,0,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,0.10621872702331447,0,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,0.41784145479267115,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,-0.5623493351827736,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,2.415556459012577,0,global_population_threshold,0,0,0,0,0,0.10621872702331447,0,0,0,3
6,9,1.0737742185592651,0.010926127433776855,0.12414041251676915,2.138936996459961,0.08513718843460083,11.502363428478768,0.15640830993652344,5.005207538604736,1.0737742185592651,0.010926127433776855,0.12414041251676915,4.6064404002026045,4.6064404002026045,2.533472797227092,0.07329457192905223,0,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,0.05838310378863109,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,-0.6744890012423383,0,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,-0.3247965033337305,0,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,1.231512186856368,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,-0.529227497069346,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,5.977950273504491,1,global_population_threshold,0,0,0,1,0,0.13167767571768332,0,0,0,3
7,65,0.526982307434082,0.008589327335357666,0.009792294924460276,1.568263053894043,0.08093291521072388,11.747905866676138,0.16022002696990967,3.9154741764068604,0.526982307434082,0.008589327335357666,0.009792294924460276,4.6064404002026045,4.6064404002026045,2.533472797227092,-0.30749588048005255,0,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,-0.6166810835903678,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,-0.6744897784394831,0,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,-0.12169251104943116,0,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,0.8238657911378459,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,-0.5450931575822606,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,6.140072240100722,1,global_population_threshold,0,0,0,1,0,0.0,0,0,0,3
8,8,0.5104263424873352,0.0011720061302185059,0.0897162000646382,2.5321733951568604,0.07860255241394043,11.3885938608471,0.020404815673828125,5.608304500579834,0.5104263424873352,0.0011720061302185059,0.0897162000646382,4.6064404002026045,4.6064404002026045,2.533472797227092,-0.3190255927048877,0,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,-0.14484326752789015,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,-0.6744884656962349,0,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,-0.4189026527883372,0,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,-0.4700592892346663,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,-0.5538872447019361,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,0.19337766207965562,0,global_population_threshold,0,0,0,0,0,0.0,0,0,0,3
9,9,2.2364914417266846,0.004296600818634033,0.3629679686258531,3.1292171478271484,0.07417261600494385,11.263535872369685,0.020977675914764404,6.355410099029541,2.2364914417266846,0.004296600818634033,0.3629679686258531,4.6064404002026045,4.6064404002026045,2.533472797227092,0.8830205543831263,0,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,1.4683226242913723,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,-0.6744876525862166,0,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,-0.5223461834190394,0,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,0.07501504710907482,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,-0.5706044900892678,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,0.2177428570907015,0,global_population_threshold,0,0,0,0,0,2.3513431786744987,0,0,0,3
10,476,8487047266304.0,0.0014197230339050293,0.6610192633991152,9488035741696.0,0.42532646656036377,16.768210418577837,0.001420140266418457,9488035741696.0,8487047266304.0,0.0014197230339050293,0.6610192633991152,4.6064404002026045,4.6064404002026045,2.533472797227092,5910450579824.138,1,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,3.22789470418107,1,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,12921693.72534839,1,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,4.030925278608062,1,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,-0.4268459638780491,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,0.754544348733699,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,-0.6140886018854083,0,global_population_threshold,2,2,4,0,4,5910463501525.122,1,1,1,3
