round,cluster_id,num_members,num_poisoned,suspicious_ratio,cluster_status,cluster_forced_poisoned,cluster_dE_global,cluster_dC_global,cluster_dN_global,lambda_cluster_dE_global,lambda_cluster_dN_global,flag_cluster_dE_global,flag_cluster_dN_global,members,poisoned_members,benign_members
3,1,1,0,0.0,MOSTLY_BENIGN,0,3.8752310276031494,0.18236881494522095,11.26622588418198,10990981896.503544,18.535537423490865,0,0,1,,1
3,8,7,0,0.0,MOSTLY_BENIGN,0,2.890543222427368,0.0792384147644043,11.315431863080159,10990981896.503544,18.535537423490865,0,0,8;21;51;319;447;461;478,,8;21;51;319;447;461;478
3,9,16,0,0.0,MOSTLY_BENIGN,0,1.5850895643234253,0.0750320553779602,11.68482277164874,10990981896.503544,18.535537423490865,0,0,9;6;58;125;169;176;222;256;339;360;366;380;392;405;407;427,,9;6;58;125;169;176;222;256;339;360;366;380;392;405;407;427
3,12,1,0,0.0,MOSTLY_BENIGN,0,7272796672.0,0.6906190514564514,9.59456443453525,10990981896.503544,18.535537423490865,0,0,12,,12
3,17,6,6,1.0,POISONED_BY_CENTROID,1,25851548663808.0,0.7043460011482239,17.7705493180724,10990981896.503544,18.535537423490865,1,0,17;35;88;148;172;460,17;35;88;148;172;460,
3,20,1,1,1.0,POISONED_BY_CENTROID,1,15877904793600.0,0.2806832790374756,17.283107316451932,10990981896.503544,18.535537423490865,1,0,20,20,
3,24,2,2,1.0,POISONED_BY_CENTROID,1,48446656479232.0,0.7405676245689392,18.398642135526327,10990981896.503544,18.535537423490865,1,0,24;423,24;423,
3,25,4,0,0.0,MOSTLY_BENIGN,0,1.6368095874786377,0.05314761400222778,12.152452576343215,10990981896.503544,18.535537423490865,0,0,25;277;280;330,,25;277;280;330
3,26,2,2,1.0,POISONED_BY_CENTROID,1,87070777344.0,0.8128996342420578,12.077144850911154,10990981896.503544,18.535537423490865,1,0,26;346,26;346,
3,27,1,0,0.0,MOSTLY_BENIGN,0,1285562880.0,0.9641635678708553,7.861620191651921,10990981896.503544,18.535537423490865,0,0,27,,27
3,28,2,0,0.0,MOSTLY_BENIGN,0,1.6703778505325317,0.09673911333084106,11.819007130790464,10990981896.503544,18.535537423490865,0,0,28;296,,28;296
